Subgroup,PCI,CABG,PCI3,CABG3,hr,se,lcl,ucl,p
Overall,757,743,12,9.2,1.3,0.15,0.97,1.74,
Age at enrollment,,,,,,,,,0.72
65+,434,409,12,9.8,1.22,0.15,0.91,1.64,
<65,323,334,12.1,8.4,1.44,0.22,0.94,2.22,
Sex,,,,,,,,,0.13
Female,141,124,11.3,13.7,0.82,0.38,0.39,1.73,
Male,616,619,12.2,8.2,1.49,0.18,1.05,2.12,
Diabetes,,,,,,,,,0.43
No,543,529,9.6,8.1,1.19,0.22,0.77,1.83,
Yes,214,214,18.2,11.7,1.56,0.26,0.94,2.60,
NSTE-ACS,,,,,,,,,0.11
No,456,454,12.3,7.5,1.64,0.23,1.04,2.57,
Yes,300,287,11.7,11.5,1.02,0.32,0.54,1.91,
LVEF,,,,,,,,,0.46
>50%,616,610,11.5,8.2,1.4,0.2,0.95,2.07,
30-50%,137,130,13.9,13.1,1.06,0.34,0.54,2.06,
Previous PCI,,,,,,,,,0.9
No,658,637,11.1,8.5,1.31,0.17,0.94,1.83,
Yes,98,104,18.4,12.5,1.47,0.38,0.70,3.10,
SYNTAX,,,,,,,,,<0.01
0-22,237,245,7.2,12.7,0.57,0.3,0.32,1.03,
23-32,365,343,15.3,5.2,2.94,0.19,2.03,4.27,
33+,132,122,12.1,13.9,0.87,0.38,0.41,1.83,
